"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1973","1973","IDX","Index","0","Units","2015_100","2015=100",9.728057,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1974","1974","IDX","Index","0","Units","2015_100","2015=100",11.20937,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1975","1975","IDX","Index","0","Units","2015_100","2015=100",13.35397,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1976","1976","IDX","Index","0","Units","2015_100","2015=100",15.49856,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1977","1977","IDX","Index","0","Units","2015_100","2015=100",17.2673,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1978","1978","IDX","Index","0","Units","2015_100","2015=100",18.54963,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1979","1979","IDX","Index","0","Units","2015_100","2015=100",19.78775,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1980","1980","IDX","Index","0","Units","2015_100","2015=100",21.51227,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1981","1981","IDX","Index","0","Units","2015_100","2015=100",23.78952,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1982","1982","IDX","Index","0","Units","2015_100","2015=100",26.53106,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1983","1983","IDX","Index","0","Units","2015_100","2015=100",28.69777,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1984","1984","IDX","Index","0","Units","2015_100","2015=100",30.84236,,
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1985","1985","IDX","Index","0","Units","2015_100","2015=100",33.25227,,
