"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","HPI_YDH","Price to income ratio","1970","1970","IDX","Index","0","Units",,,57.4383089381708,,
"AUS","Australia","HPI_YDH","Price to income ratio","1970-Q1","Q1-1970","IDX","Index","0","Units",,,56.3389119386158,,
"AUS","Australia","HPI_YDH","Price to income ratio","1970-Q2","Q2-1970","IDX","Index","0","Units",,,56.5555237987312,,
"AUS","Australia","HPI_YDH","Price to income ratio","1970-Q3","Q3-1970","IDX","Index","0","Units",,,59.6162702256632,,
"AUS","Australia","HPI_YDH","Price to income ratio","1970-Q4","Q4-1970","IDX","Index","0","Units",,,57.242529789673,,
"AUS","Australia","HPI_YDH","Price to income ratio","1971","1971","IDX","Index","0","Units",,,58.9307108831533,,
"AUS","Australia","HPI_YDH","Price to income ratio","1971-Q1","Q1-1971","IDX","Index","0","Units",,,57.9313243580937,,
"AUS","Australia","HPI_YDH","Price to income ratio","1971-Q2","Q2-1971","IDX","Index","0","Units",,,58.2570810338477,,
"AUS","Australia","HPI_YDH","Price to income ratio","1971-Q3","Q3-1971","IDX","Index","0","Units",,,59.1474411313953,,
"AUS","Australia","HPI_YDH","Price to income ratio","1971-Q4","Q4-1971","IDX","Index","0","Units",,,60.3869970092767,,
"AUS","Australia","HPI_YDH","Price to income ratio","1972","1972","IDX","Index","0","Units",,,59.9605671123412,,
"AUS","Australia","HPI_YDH","Price to income ratio","1972-Q1","Q1-1972","IDX","Index","0","Units",,,60.9337742085531,,
"AUS","Australia","HPI_YDH","Price to income ratio","1972-Q2","Q2-1972","IDX","Index","0","Units",,,59.2947286821112,,
"AUS","Australia","HPI_YDH","Price to income ratio","1972-Q3","Q3-1972","IDX","Index","0","Units",,,59.6705547165747,,
"AUS","Australia","HPI_YDH","Price to income ratio","1972-Q4","Q4-1972","IDX","Index","0","Units",,,59.9432108421257,,
"AUS","Australia","HPI_YDH","Price to income ratio","1973","1973","IDX","Index","0","Units",,,62.0923256064934,,
"AUS","Australia","HPI_YDH","Price to income ratio","1973-Q1","Q1-1973","IDX","Index","0","Units",,,59.789596598549,,
"AUS","Australia","HPI_YDH","Price to income ratio","1973-Q2","Q2-1973","IDX","Index","0","Units",,,61.3980353015738,,
"AUS","Australia","HPI_YDH","Price to income ratio","1973-Q3","Q3-1973","IDX","Index","0","Units",,,62.201832150459,,
"AUS","Australia","HPI_YDH","Price to income ratio","1973-Q4","Q4-1973","IDX","Index","0","Units",,,64.979838375392,,
"AUS","Australia","HPI_YDH","Price to income ratio","1974","1974","IDX","Index","0","Units",,,63.0167222621975,,
"AUS","Australia","HPI_YDH","Price to income ratio","1974-Q1","Q1-1974","IDX","Index","0","Units",,,66.1873679671695,,
"AUS","Australia","HPI_YDH","Price to income ratio","1974-Q2","Q2-1974","IDX","Index","0","Units",,,63.2539027684011,,
"AUS","Australia","HPI_YDH","Price to income ratio","1974-Q3","Q3-1974","IDX","Index","0","Units",,,62.792648738881,,
"AUS","Australia","HPI_YDH","Price to income ratio","1974-Q4","Q4-1974","IDX","Index","0","Units",,,59.8329695743383,,
"AUS","Australia","HPI_YDH","Price to income ratio","1975","1975","IDX","Index","0","Units",,,58.591419091713,,
"AUS","Australia","HPI_YDH","Price to income ratio","1975-Q1","Q1-1975","IDX","Index","0","Units",,,57.367555733474,,
"AUS","Australia","HPI_YDH","Price to income ratio","1975-Q2","Q2-1975","IDX","Index","0","Units",,,58.6051795591092,,
"AUS","Australia","HPI_YDH","Price to income ratio","1975-Q3","Q3-1975","IDX","Index","0","Units",,,59.2753309633588,,
"AUS","Australia","HPI_YDH","Price to income ratio","1975-Q4","Q4-1975","IDX","Index","0","Units",,,59.1176101109101,,
"AUS","Australia","HPI_YDH","Price to income ratio","1976","1976","IDX","Index","0","Units",,,58.2728509918065,,
"AUS","Australia","HPI_YDH","Price to income ratio","1976-Q1","Q1-1976","IDX","Index","0","Units",,,60.0928010782297,,
"AUS","Australia","HPI_YDH","Price to income ratio","1976-Q2","Q2-1976","IDX","Index","0","Units",,,59.8084442849854,,
"AUS","Australia","HPI_YDH","Price to income ratio","1976-Q3","Q3-1976","IDX","Index","0","Units",,,56.2481392021957,,
"AUS","Australia","HPI_YDH","Price to income ratio","1976-Q4","Q4-1976","IDX","Index","0","Units",,,56.9420194018153,,
"AUS","Australia","HPI_YDH","Price to income ratio","1977","1977","IDX","Index","0","Units",,,57.1117577169182,,
"AUS","Australia","HPI_YDH","Price to income ratio","1977-Q1","Q1-1977","IDX","Index","0","Units",,,56.9347323695061,,
"AUS","Australia","HPI_YDH","Price to income ratio","1977-Q2","Q2-1977","IDX","Index","0","Units",,,56.9159688504834,,
"AUS","Australia","HPI_YDH","Price to income ratio","1977-Q3","Q3-1977","IDX","Index","0","Units",,,57.6235794318003,,
"AUS","Australia","HPI_YDH","Price to income ratio","1977-Q4","Q4-1977","IDX","Index","0","Units",,,56.972750215883,,
