"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1970","1970","PC","Percentage","0","Units",,,6.646667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1971","1971","PC","Percentage","0","Units",,,6.713333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1972","1972","PC","Percentage","0","Units",,,5.831666,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1973","1973","PC","Percentage","0","Units",,,6.933333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1974","1974","PC","Percentage","0","Units",,,9.036667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1975","1975","PC","Percentage","0","Units",,,9.741667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1976","1976","PC","Percentage","0","Units",,,10.03083,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1977","1977","PC","Percentage","0","Units",,,10.22667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1978","1978","PC","Percentage","0","Units",,,9.06,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1979","1979","PC","Percentage","0","Units",,,9.749166,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1980","1980","PC","Percentage","0","Units",,,11.6475,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1981","1981","PC","Percentage","0","Units",,,13.95833,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1982","1982","PC","Percentage","0","Units",,,15.375,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1983","1983","PC","Percentage","0","Units",,,13.8875,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1984","1984","PC","Percentage","0","Units",,,13.525,,
